no,id,title,original_title,genres,companies,countries,languages,year,overview,tagline,vote_average,poster_path
11,1297842,고트,GOAT,"애니메이션, 코미디, 가족, 액션","Sony Pictures Animation, Unanimous Media, Modern Magic, Columbia Pictures, MACRO, TSG Entertainment",US,English,2026,"큰 꿈을 품은 작은 염소 윌은 세계에서 가장 빠르고 사나운 동물들이 지배하는 고강도 혼성 풀컨택트 스포츠 ‘로어볼’의 프로 리그에 합류할 단 한 번의 기회를 얻게 된다. 새 팀의 동료들은 작은 염소가 팀 명단에 오른 것을 탐탁지 않게 여기지만, 윌은 ‘작아도 충분히 해낼 수 있다’는 것을 증명하고 스포츠의 판도를 바꾸겠다는 굳은 결의를 다진다. 이를 위해 그는 지금까지 한 번도 해본 적 없는 도전에 나서야 한다.",,7.5,/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg
12,1084244,토이 스토리 5,Toy Story 5,"애니메이션, 가족, 코미디, 모험",Pixar,US,English,2026,,녀석이 커졌다,0.0,/xbYSn0ZkAjbIYQhV5H2WD7fsyfq.jpg
13,1110034,크라켄,Kraken,"공포, 액션, 스릴러","Handmade films in Norwegian Woods, Nordisk Film Norway",NO,"English, Japanese, Norwegian",2026,,,8.0,/8ExwomWgJoXBdY3u1Otiw2zY9wZ.jpg
14,1601243,Oscar Shaw,Oscar Shaw,"액션, 범죄, 스릴러",,US,English,2026,,,6.364,/tsE3nySukwrfUjouz8vzvKTcXNC.jpg
15,1317672,사랑해 줘 사랑해 줘,Love Me Love Me,"로맨스, 드라마","Lotus Production, Amazon MGM Studios, Leone Film Group","IT, US","English, Italian",2026,"오빠의 죽음으로 모든 것을 잃은 준은 상처를 안고 밀라노로 떠나 국제학교로 전학한다. 그곳에서 만난 모범생이자 완벽한 연인인 윌에게서 안정을 찾지만, 비밀스럽고 위험한 불법 격투 경기에 몸담은 절친 제임스와의 갈등은 서서히 금지된 설렘으로 바뀌어 가고, 준은 안전한 삶과 모든 것을 뒤흔드는 사랑 사이에서 흔들린다.",,5.633,/o6SeivdAJ4ri8EbgJlIiffVN9Q.jpg
16,1171145,크라임 101,Crime 101,"범죄, 스릴러","Working Title Films, The Story Factory, RAW, Amazon MGM Studios, Wild State",GB,English,2026,,,6.913,/2HoR2x23bqKpopluoBD1FH3tBi7.jpg
17,1327688,One Mile: Chapter One,One Mile: Chapter One,"액션, 범죄","Kapital Entertainment, Republic Pictures, Paramount Global Content Distribution",US,English,2026,,,7.7,/1GZaoYe0mQy211DgDSAxAXr30ul.jpg
18,1159559,스크림 7,Scream 7,"공포, 미스터리, 범죄","Paramount Pictures, Project X Entertainment, Domain Entertainment, Spyglass Media Group",US,English,2026,,,6.136,/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg
19,1426964,브라더후드: 총공세,Salve Geral: Irmandade,"액션, 스릴러, 범죄, 드라마",O2 Filmes,BR,Portuguese,2026,전례 없는 폭력 사태로 혼란에 빠진 상파울루. 암흑가와 연결된 변호사가 납치된 조카를 구하기 위해 경찰과 거래를 시도한다.,,5.191,/y9HaUSRRvpg1y6cxGsno6ohoAOV.jpg
20,1315303,프라이메이트,Primate,"공포, 스릴러","18Hz Productions, Paramount Pictures, Domain Entertainment",US,English,2026,광견병에 걸린 침팬지 '벤'에게서 벗어나 생존하려는 주인공 '루시'와 친구들의 이야기를 그린 공포 영화,벤이 어딘가 이상하다,6.613,/4Q5IClJJyKUHKNLywQaqwcK00OF.jpg
21,1306368,더 립,The Rip,"액션, 스릴러, 범죄",Artists Equity,US,"English, Spanish",2026,"허름한 은닉처에서 수백만 달러의 현금을 발견한 마이애미 경찰. 신뢰에 금이 가기 시작하면서 모든 사람, 모든 것이 의심의 대상이 된다.",,7.1,/o0d6Us9VWOW0nHhoB7ZNIwigARG.jpg
22,1146344,Misdirection,Misdirection,"공포, 스릴러","Storyoscopic Films, Patriot Pictures, Abbott Street Films",US,English,2026,,,5.982,/z7padnoIDHbmxPdqEHryhqlaVqc.jpg
23,1584215,인턴십,The Internship,액션,"SP Media Group, Paramount Global Content Distribution",US,English,2026,"“배신당한 킬러들의 반란, CIA 내부를 격돌하다”  어린 시절부터 비밀 CIA ‘인턴십’으로 혹독한 훈련을 받아온 여성이 이제 그 프로그램이 자신의 삶을 빼앗아간 진짜 이유를 밝히기 위해 나선다. 그녀는 자신처럼 길러진 동료 인턴들을 모아 조직을 무너뜨리려 하고, 점점 더 치명적인 임무 속에서 배신과 살아남기 위한 본능이 충돌하게 된다. CIA는 이를 막기 위해 더욱 강력한 대응에 나서고, 인턴들과 기관 모두가 최후의 결전을 벌이게 되는데…",,6.32,/fYqSOkix4rbDiZW0ACNnvZCpT6X.jpg
24,1323625,Night Patrol,Night Patrol,"공포, 미스터리","Phantom Four, XYZ Films, BondIt Media Capital",US,English,2026,,,4.5,/rNqLzACU9ez2ehDalTFDPjZiC4G.jpg
25,1305781,镖人：风起大漠,镖人：风起大漠,"액션, 드라마, 역사","Alibaba Pictures Group, DF Pictures, 大麦娱乐, Peace Film Production Co., Huaxia Film Distribution, China Film Group Corporation",CN,Mandarin,2026,,,7.833,/AsWzPlQK2xJTIrzw6McT8Yvy6H2.jpg
26,1549519,Sex Trip,Sex Trip,드라마,Vivamax,PH,Tagalog,2026,,,7.0,/sr4sLilBbPx4TfPnX2zzUxlySgu.jpg
27,680493,리턴 투 사일런트 힐,Return to Silent Hill,"공포, 미스터리","Konami, Davis Films, Ashland Hill Media Finance, Supernix, WIP, Richmond Pictures, Lipsync Productions, Electric Shadow Company","GB, US","Spanish, Polish, English, Portuguese",2026,"침묵이 지배하는 안개 속 도시, 잃어버린 사랑을 찾기 위한 잔혹한 여정이 다시 시작된다. 기억 속에서 지워지지 않는 옛 연인 메리를 되찾기 위해 제임스는 정체 모를 편지에 이끌려 다시 사일런트 힐로 향한다. 하지만 그를 기다리고 있는 것은 낯익으면서도 낯선 공포, 그리고 기괴하게 뒤틀린 괴물들이 장악한 심연의 세계다. 안개 너머에 숨겨진 진실에 다가갈수록 제임스는 자신의 어두운 내면과 마주하게 되고, 현실과 악몽의 경계는 점점 무너지기 시작한다. 과연 그는 이 지옥 같은 도시에서 메리를 구해내고 무사히 탈출할 수 있을 것인가, 아니면 영원히 안개 속에 갇히게 될 것인가.",,5.122,/lSzmchPGjy6gjLMCpousS3vQAjS.jpg
28,1198994,직장상사 길들이기,Send Help,"공포, 스릴러, 코미디","Raimi Productions, 20th Century Studios, TSG Entertainment",US,English,2026,"직장에서 인정받지 못해 괴로워하는 린다는 죽일 만큼 미운 상사 브래들리와 출장 도중 비행기 추락 사고로 인해 무인도에 단둘이 고립된다. 와이파이도, 인사팀도, 직급도 없는 야생의 섬에서 이들의 권력관계는 완전히 뒤집히게 되는데…!",죽이고 싶은 상사와 무인도에 고립됐다,7.084,/c4df7ExGyVUWAWOwNB5jy4EFHsx.jpg
29,1268609,파반느,파반느,"로맨스, 드라마","Plus M Entertainment, The LAMP",KR,Korean,2026,백화점에서 일하는 세 사람. 서로에게 그저 낯선 타인이었던 외로운 이들. 점차 서로에게 빛이 되어주며 삶의 의미와 사랑의 본질을 알아나간다.,누군가를 사랑해야 할 당신을 위한,7.5,/22RlxpIT4u4psfIx9tmtbPvgAbm.jpg
30,1327690,One Mile: Chapter Two,One Mile: Chapter Two,"액션, 범죄","Kapital Entertainment, Paramount Global Content Distribution",US,English,2026,,,8.0,/3sjc9qXXmQoUWKQ3qIjS1nZaUJy.jpg
31,1327819,호퍼스,Hoppers,"애니메이션, 가족, 코미디, SF",Pixar,US,English,2026,"오랜 연구 끝에 개발한 ‘호핑’ 기술로 동물 세계에 가까이 갈 수 있음을 알게 된 주인공 ‘메이블’은 마치 ‘아바타’ 같다며 신기해하고, 직접 로봇 비버가 되어 동물들의 세계에 잠입한다. 그들의 말을 알아듣게 된 ‘메이블’은 진짜 동물이 된 것처럼 동물 세상을 경험하는 가운데, 연못에 있던 다른 비버에게 달려드는 곰을 막아서지만 그들에겐 그들만의 질서와 법칙이 있다는 사실을 알게 된다. ‘호핑‘ 기술을 개발한 박사는 이 기술을 자연계 질서를 어지럽히는 데 쓰면 안 된다고 경고하지만, ‘메이블’은 통신을 끊어버려 이후 예측불가의 모험이 펼쳐질 것을 예고한다.","좋아, 자연스러웠어",6.0,/vJu9THzQ26Q5sWOVnhOkuRH5M1P.jpg
32,1119449,"굿 럭, 해브 펀, 돈 다이","Good Luck, Have Fun, Don't Die","SF, 액션, 모험, 코미디","Constantin Film, Blind Wink, 3 Arts Entertainment, Robert Kulzer Productions",US,English,2026,,,7.296,/af7yguGbWQyvYtk6QCD5l4yBbKN.jpg
33,1243460,조의 칼리지 로드 트립,Joe's College Road Trip,코미디,"Tyler Perry Studios, Netflix",US,English,2026,"거친 막말을 일삼는 마디아의 오빠 조. 대학 입학을 앞둔 세상 물정 모르는 10대 손자에게 진짜 세상을 알려주려고, 전국을 가로지르는 시끌벅적한 자동차 여행에 나선다.",,5.739,/hK0tI25tfpoWsUflXiVqcIYFptX.jpg
34,1340076,Untitled Home Invasion Romance,Untitled Home Invasion Romance,"코미디, 액션, 스릴러, 로맨스","Motion Picture Corporation of America, Brad Krevoy Television",US,English,2026,,,5.6,/aBMnVU5yrsP5XMBZhG8aT2w6m9u.jpg
35,1405769,I Can Only Imagine 2,I Can Only Imagine 2,"드라마, 음악","Kingdom Story Company, Mission Pictures International, Lionsgate, LD Entertainment, Kevin Downes Productions",US,English,2026,,,6.0,/qYBCs9nBmdNCLduw5BTlendq89z.jpg
36,1198984,위 베리 더 데드,We Bury the Dead,"공포, 스릴러","Campfire Studios, Gramercy Park Media, Lotterywest, ScreenWest, Screen Australia, The Penguin Empire",US,English,2026,"참혹한 군사적 재앙 이후, 죽은 자들이 되살아나 사냥을 시작합니다. 군 당국은 이들이 무해하고 움직임이 느리다고 주장하며 슬픔에 잠긴 가족들에게 희망을 주려 하지만, 실종된 남편을 찾아 격리 구역에 들어간 에이바는 끔찍한 진실을 마주하게 됩니다. 언데드들은 시간이 흐를수록 더욱 폭력적이고, 끈질기고, 위험해지고 있었던 것입니다.",,6.2,/xZqo0yPARmyF8TACVNyaOACkYWG.jpg
37,1373198,더 몬스터,Twisted,"공포, 스릴러","Envision Media Arts, Twisted Pictures",US,English,2026,"“신조차 나에게 기도하는 이곳, 당신의 완벽한 사기극은 이제 악몽이 된다.” 뉴욕의 호화로운 아파트를 가짜로 임대하며 살아가던 영리한 사기꾼 팔로마와 스미스. 그들이 마지막 타겟으로 고른 저명한 신경외과의사 케지안 박사는 평범한 먹잇감이 아니었다. 박사의 은밀한 공간에 발을 들인 팔로마는 그곳이 광기 어린 집착이 지배하는 실험실임을 깨닫게 되고, 순식간에 포식자에서 실험체로 전락한 그녀의 처절한 생존 게임이 시작된다. 윤리가 사라진 수술대 위에서 펼쳐지는 잔혹한 신의 놀음, 과연 이 비틀린 지옥에서 누가 진짜 괴물로 남을 것인가.",,4.347,/rF6txsM6cgF9vg6Ra5sNbkvUwrw.jpg
38,1159831,브라이드!,The Bride!,"SF, 공포, 코미디","First Love Films, Warner Bros. Pictures, In The Current Company, Domain Entertainment",US,English,2026,"1930년대 미국, 죽음에서 깨어난 ‘브라이드’와 그녀를 사랑하게 된 ‘프랑켄슈타인’. 어느 날, 끔찍한 사건을 저지르고 위험천만한 도주를 시작한다. 세상의 모든 규범을 깨부순 ‘브라이드’와 ‘프랑켄슈타인’의 파격적인 행보는 미국 전역을 뒤흔들고 그들의 운명은 걷잡을 수 없는 방향으로 치닫는데…",누구도 감당 불가 ㅁ#친X 신부 입장,0.0,/ftIYdV8IEE4n8odMv7FLam9VDVy.jpg
39,1412598,킬러 웨일,Killer Whale,"스릴러, 공포, 액션, 미스터리, SF","Jaggi Entertainment, Metrol Technology, Ace Entertainment Films, Head Gear Films, Asia Pacific Film Group, Screen Queensland",AU,English,2026,절친인 매디와 트리스가 위험한 범고래 세토와 함께 외딴 석호에 갇히게 되면서 벌어지는 이야기를 그린다.,,5.7,/xC6zdIoIHjhOIFmjNyGgtzhuhiF.jpg
40,1116201,Iron Lung,Iron Lung,"공포, SF, 미스터리",Markiplier Studios,US,English,2026,,,7.347,/sIwakdbMGS1krtgendTWpxTY9Hw.jpg
41,467905,하우 투 메이크 어 킬링,How to Make a Killing,"코미디, 스릴러, 드라마","StudioCanal, Blueprint Pictures, StudioCanal UK",GB,English,2026,,,6.6,/osBS9rX9Ov9CKTiDsjAuRSqD7Af.jpg
42,696393,콜드 스토리지,Cold Storage,"코미디, 공포, SF","Pariah, StudioCanal UK, StudioCanal",US,English,2026,,,6.176,/pfqkETJ2A3zXZJuNcufZbAJNnKA.jpg
43,1601797,¿Quieres Ser Mi Novia?,¿Quieres Ser Mi Novia?,"코미디, 로맨스",Videocine,MX,Spanish,2026,,,8.0,/9awS1pWQbfiHzRedbX7ynMftZpi.jpg
44,1454741,The Confession,The Confession,공포,"Three Folks Pictures, Five by Five",US,English,2026,,,5.792,/7tmMQwSVVbijKV4lquYpBld3P9K.jpg
45,1575337,초(超) 가구야 공주!,超かぐや姫！,"애니메이션, 판타지, 음악, SF","Studio Colorido, Studio Chromato, Twin Engine",JP,Japanese,2026,"달에서 도망쳐 온, 자유분방한 가구야가 이로하의 집에 살게 되면서, 이로하의 삶은 궤도를 이탈할 지경이다. 게다가 가구야는 이로하에게 가상 세계에서 함께 무대에 서자고 설득한다.",,8.3,/4Gh56xcxDoWWPuTclaKpKrZ3J4M.jpg
46,1003596,어벤져스: 둠스데이,Avengers: Doomsday,"SF, 액션, 모험","Marvel Studios, Kevin Feige Productions, AGBO",US,English,2026,,,0.0,/qbguX4ENXLoQ0K5cSYLhEItwHib.jpg
47,1226863,슈퍼 마리오 갤럭시,The Super Mario Galaxy Movie,"가족, 판타지, 코미디, 모험, 애니메이션","Illumination, Universal Pictures, Nintendo",US,English,2026,,,0.0,/bSij3NotNZOOiP1cJafzZeLSHII.jpg
48,1533549,Wicked of Oz,Wicked of Oz,"액션, 판타지, 공포","Insurgence, Sandaled Kid Productions, Exit 10 Films, LLC",US,English,2026,,,0.0,/a3KqiPPgjbvWCD2Ez3Om2zxb2Wr.jpg
49,687163,프로젝트 헤일메리,Project Hail Mary,"SF, 모험, 미스터리","Lord Miller, Goddard Textiles, Amazon MGM Studios, Pascal Pictures",US,English,2026,,,0.0,/3caVdcRPzLodPaKryaKf6Xx2BFp.jpg
50,1515615,Kissing Is the Easy Part,Kissing Is the Easy Part,"로맨스, 코미디","Blue Ice Pictures, WEBTOON Productions",US,English,2026,,,7.7,/gPxlb7LLqbsKgjltgVrgYdhfxCZ.jpg
51,1321179,왕과 사는 남자,왕과 사는 남자,"역사, 드라마","BA Entertainment, Onda Works",KR,Korean,2026,"계유정난이 조선을 뒤흔들고 어린 왕 이홍위는 왕위에서 쫓겨나 유배길에 오른다. 한편, 강원도 영월 산골 마을 광천골의 촌장 엄흥도는 먹고 살기 힘든 마을 사람들을 위해 청령포를 유배지로 만들기 위해 노력한다. 그러나 촌장이 부푼 꿈으로 맞이한 이는 왕위에서 쫓겨난 이홍위였다. 유배지를 지키는 보수주인으로서 그의 모든 일상을 감시해야만 하는 촌장은 삶의 의지를 잃어버린 이홍위가 점점 신경 쓰이는데…","1457년 청령포, 역사가 지우려 했던 이야기",8.0,/zEH1FQTEnRY05i8gQIYdR10Vp92.jpg
52,1291335,Solo Mio,Solo Mio,"로맨스, 코미디","A Higher Standard, Nickel City Pictures, Kinnane Brothers, LB Entertainment",US,English,2026,,,7.2,/efSsZJaddeq0LOABZqpCXdMxv9P.jpg
53,875828,피키 블라인더스: 불멸의 남자,Peaky Blinders: The Immortal Man,"범죄, 드라마","BBC Film, Garrison Drama, Nebulastar",GB,English,2026,"멀어진 아들이 나치 음모에 휘말리자, 스스로 은둔을 택했던 갱스터 토마스 셸비는 가족과 조국을 구하기 위해 버밍엄으로 돌아온다.",,0.0,/q1GPxUb7dfzfw4toS5TnRoSPVbn.jpg
54,1592032,怒袭,怒袭,"액션, 범죄, 스릴러",,CN,Mandarin,2026,,,5.5,/4mTK8drt1EWo1AzqBrV4mJA04Wh.jpg
55,1304313,리 크로닌의 미이라,Lee Cronin's The Mummy,"공포, 미스터리","Atomic Monster, Blumhouse Productions, New Line Cinema, Domain Entertainment, Wicked/Good",US,"English, Tahitian",2026,,,0.0,/tggoqsIILhZHgFNtjnwyjq9rZlr.jpg
56,1010755,스트레인저스: 챕터3,The Strangers: Chapter 3,"공포, 스릴러","Lionsgate, Fifth Element Productions, Lipsync Productions, Sherbone Media, Stream Media",US,English,2026,,,6.0,/yPHwX78mcwJw3I6YOJ9qh2wQBFr.jpg
57,1034716,우리의 열 번째 여름,People We Meet on Vacation,"로맨스, 코미디, 드라마","3000 Pictures, Temple Hill Entertainment, HarperCollins Publishers",US,English,2026,"자유로운 영혼의 파피와 계획을 좋아하는 알렉스. 수년간 여름휴가를 함께 보낸 후, 이 정반대의 두 친구는 연인으로도 완벽한 한 쌍이 될 수 있을지 고민한다.",,7.02,/dCmOJiBIzr3XVkQTD85FRdOVfTK.jpg
58,1475490,The Calling Witch,The Calling Witch,"스릴러, 공포, 드라마",,US,English,2026,,,5.7,/q8o2NzIH4ze28NAVs1eRkejAJIk.jpg
59,1083381,백룸,Backrooms,"공포, 미스터리, SF","Atomic Monster, Chernin Entertainment, 21 Laps Entertainment, Oddfellows Entertainment, A24, Phobos",US,English,2026,,,0.0,/65x9FGRRD3zCnMJsaLD0TEJttzG.jpg
60,1627796,Pansamantala,Pansamantala,드라마,Vivamax,PH,Tagalog,2026,,,4.0,/oa9YIxSVw7FsVIWaObFiO0RkKv0.jpg
61,1445363,에픽: 엘비스 프레슬리 인 콘서트,EPiC: Elvis Presley in Concert,"음악, 다큐멘터리","Bazmark, Authentic Studios, Sony Music Vision",AU,English,2026,,,8.3,/2K2NH5dforjT9kLcUC0eeBpdZkC.jpg
62,1433842,연애 목표,Relationship Goals,"로맨스, 코미디","Amazon MGM Studios, Franklin Entertainment",US,"English, French, Spanish",2026,"TV 프로듀서 리아 콜드웰의 목표는 뉴욕 최고의 아침 방송을 이끄는 최초의 여성이 되는 것이다. 그런데 그 자리를 두고 전 남자 친구 재럿 로이와 경쟁하게 된다. 재럿은 '연애 목표'라는 책 덕분에 자신이 변했다고 주장하고, 리아의 친구들마저 그 책의 지혜에 푹 빠진다. 리아는 일에만 집중하려고 하지만, 전 남친에게 강하게 끌리며 그녀의 우선순위가 흔들린다.",,5.598,/hYfGLc8dhMKxA4emzaAXK7zQ9SS.jpg
63,1305715,过家家,过家家,"코미디, 드라마",Wuhan Legend Film and Television Arts,CN,Mandarin,2026,,,7.8,/jTuu8wLW2RUg1IzX4IC7wqpsjIo.jpg
64,969681,스파이더맨: 브랜드 뉴 데이,Spider-Man: Brand New Day,"SF, 액션, 모험","Marvel Studios, Columbia Pictures, Pascal Pictures",US,English,2026,,,0.0,/9JCQtDCSpPR2ld55yNlEg1VwcQo.jpg
65,1275779,디스클로저 데이,Disclosure Day,"SF, 스릴러, 미스터리","Universal Pictures, Amblin Entertainment",US,English,2026,,,0.0,/s1ZasCpnVuRRtgI5XCK7RCmMbYx.jpg
66,1531626,디센던츠/좀비스 세계관 충돌: 콘서트 스페셜,Descendants/ZOMBIES Worlds Collide - Concert Special,음악,"Disney Concerts, Fulwell 73 Productions",US,English,2026,,,7.5,/ogWhinTSMe8UhlIPhrztPVxpOsl.jpg
67,1071640,衝鋒: 火拼,衝鋒: 火拼,"액션, 범죄",Emperor Motion Pictures,"CN, HK","Cantonese, Mandarin",2026,,,0.0,/xqu6u29ToxZos0PojcgXy2hEx9b.jpg
68,1618945,앗! 절친이라니,Yoh! Bestie,"로맨스, 코미디",,ZA,"English, Zulu",2026,"연애에는 영 운이 따르지 않는 탄도. 잠시 외국에 머물던 절친이 약혼녀와 함께 귀국하자, 이제껏 느껴보지 못한 새로운 감정에 휩싸인다. 그것은 다름 아닌 질투.",,6.2,/r6bLo04N2SvwE2g3Qx9qpbhFPR7.jpg
69,1193501,휘슬,Whistle,"공포, 미스터리","No Trace Camping, Wild Atlantic Pictures",US,English,2026,,,6.3,/ieOiiCBbf0SNwR39iiA2xnGOnab.jpg
70,1265609,워 머신: 전쟁 기계,War Machine,"액션, SF, 스릴러","Hidden Pictures, Range Media Partners, Huge Film, Emu Creek Pictures",AU,"German, English",2026,미 육군 레인저 선발 과정의 최종 단계에 진입한 최정예 팀. 그들의 훈련 현장이 상상을 초월한 위협 앞에서 처절한 생존 사투의 장으로 돌변한다.,,0.0,/rFhKkXhk7ClU03jQ5rHIApJDwev.jpg
71,1107166,싸이코 킬러,Psycho Killer,"범죄, 공포, 미스터리","New Regency Pictures, Vertigo Entertainment, Constantin Film, Regency Enterprises",US,English,2026,,,3.7,/5xgxxmLivJXL8aF0HdZfpx8aAIo.jpg
72,1022453,ది రాజాసాబ్,ది రాజాసాబ్,"코미디, 공포, 판타지","People Media Factory, IVY Entertainment",IN,Telugu,2026,,,5.44,/nvK6gYa4diCnQkDVN42uoYXPrdT.jpg
73,1462229,飞驰人生3,飞驰人生3,"드라마, 코미디","Shanghai PMF Media, Maoyan Entertainment, 大麦娱乐, Wanda Pictures, Bona Film Group, Fun Age Pictures, Zhejiang Hengdian Film Production, China Film Group Corporation",CN,Mandarin,2026,,,7.0,/cL5vAK6bUHYWTOnypi34mzzWI8X.jpg
74,1367642,리마인더스 오브 힘,Reminders of Him,"드라마, 로맨스","Universal Pictures, Heartbones Entertainment, Little Engine Productions",US,English,2026,,,0.0,/oR80dLGjaQ9HVsfWUQeJ04uOSR.jpg
75,1447971,경칩무성,惊蛰无声,"드라마, 범죄","大麦娱乐, 中中（北京）影业有限公司, 北京黎枫文化发展有限公司, China Film Group Corporation, 上海中中影业有限公司",CN,Mandarin,2026,,,6.222,/cPdZiwjdLel5DD7Nm99FcSsXuSr.jpg
76,1548113,더 머펫 쇼,The Muppet Show,"코미디, 가족, 음악, TV 영화","The Muppets Studio, Point Grey Pictures, 20th Television",US,English,2026,"《더 머펫 쇼》예요! 커밋, 미스 피기, 그리고 우리 사랑스러운 머펫 친구들이 상징적이고 획기적인 오리지널 시리즈를 새 단장 한 스페셜 편으로 돌아왔어요. 특별 게스트 사브리나 카펜터와 오리지널 머펫 극장에 컴백해 음악과 코미디, 정신없는 소동극을 선보인답니다!",,7.128,/1A2LGJ0Q1nVxWojwfH9sX69qVsS.jpg
